address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
157 Hart Ave,Santa Monica,CA,90405,2450000,1878.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/157-Hart-Ave-Santa-Monica-CA-90405/20483535_zpid/
222 20th St,Santa Monica,CA,90402,7795000,7581.0,6.0,8.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/222-20th-St-Santa-Monica-CA-90402/20476678_zpid/
1053 18th St,Santa Monica,CA,90403,5050000,9650.0,15.0,15.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1053-18th-St-Santa-Monica-CA-90403/2099208641_zpid/
2922 Montana Ave APT B,Santa Monica,CA,90403,1549000,1800.0,2.0,3.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/2922-Montana-Ave-APT-B-Santa-Monica-CA-90403/55325158_zpid/
1633 Sunset Ave,Santa Monica,CA,90405,2250000,1558.0,2.0,2.0,71,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1633-Sunset-Ave-Santa-Monica-CA-90405/20481398_zpid/
915 12th St APT 5,Santa Monica,CA,90403,1350000,1512.0,2.0,3.0,32,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/915-12th-St-APT-5-Santa-Monica-CA-90403/63789044_zpid/
41 Seaview Ter,Santa Monica,CA,90401,2800000,NA,0,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/41-Seaview-Ter-Santa-Monica-CA-90401/2094788258_zpid/
1720 Franklin St,Santa Monica,CA,90404,1200000,675.0,1.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1720-Franklin-St-Santa-Monica-CA-90404/20471093_zpid/
101 California Ave UNIT 603,Santa Monica,CA,90403,1200000,674.0,1.0,1.0,35,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/101-California-Ave-UNIT-603-Santa-Monica-CA-90403/20485721_zpid/
1755 Ocean Ave APT 704,Santa Monica,CA,90401,4800000,1737.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1755-Ocean-Ave-APT-704-Santa-Monica-CA-90401/2094777858_zpid/
835 Ashland Ave,Santa Monica,CA,90405,4300000,8986.0,15.0,17.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/835-Ashland-Ave-Santa-Monica-CA-90405/2101865202_zpid/
463 18th St,Santa Monica,CA,90402,5300000,5759.0,5.0,5.0,196,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/463-18th-St-Santa-Monica-CA-90402/20476760_zpid/
714 Bay St,Santa Monica,CA,90405,2100000,3240.0,8.0,4.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/714-Bay-St-Santa-Monica-CA-90405/2102328794_zpid/
213 Euclid St,Santa Monica,CA,90402,6399000,6622.0,5.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/213-Euclid-St-Santa-Monica-CA-90402/20477486_zpid/
1123 11th St APT 4,Santa Monica,CA,90403,1295000,1674.0,3.0,3.0,231,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1123-11th-St-APT-4-Santa-Monica-CA-90403/20478773_zpid/
2521 Euclid St,Santa Monica,CA,90405,3500000,4071.0,0,NA,172,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2521-Euclid-St-Santa-Monica-CA-90405/2096272609_zpid/
1024 Pico Blvd,Santa Monica,CA,90405,3495000,4874.0,0,1.0,94,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1024-Pico-Blvd-Santa-Monica-CA-90405/2095394655_zpid/
833 Ocean Ave APT 303,Santa Monica,CA,90403,2150000,1430.0,2.0,2.0,35,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/833-Ocean-Ave-APT-303-Santa-Monica-CA-90403/20485599_zpid/
2608 3rd St,Santa Monica,CA,90405,2775000,2852.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2608-3rd-St-Santa-Monica-CA-90405/65242370_zpid/
633 24th St,Santa Monica,CA,90402,5300000,5280.0,5.0,9.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/633-24th-St-Santa-Monica-CA-90402/20475973_zpid/
1815 20th St,Santa Monica,CA,90404,2200000,1978.0,5.0,4.0,154,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1815-20th-St-Santa-Monica-CA-90404/20473544_zpid/
1533 11th St,Santa Monica,CA,90401,2750000,7509.0,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/1533-11th-St-Santa-Monica-CA-90401/20479813_zpid/
422 Lincoln Blvd,SANTA MONICA,CA,90402,3000000,7483.0,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/422-Lincoln-Blvd-Santa-Monica-CA-90402/95577103_zpid/
Lincoln Blvd,SANTA MONICA,CA,90402,NA,NA,NA,NA,45,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128608384_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1422 19th St APT A,Santa Monica,CA,90404,2190000,1715.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1422-19th-St-APT-A-Santa-Monica-CA-90404/20474075_zpid/
1807 17th St,Santa Monica,CA,90404,1785000,7749.0,NA,NA,97,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/1807-17th-St-Santa-Monica-CA-90404/20473591_zpid/
834 Pearl St,Santa Monica,CA,90405,1895000,1965.0,3.0,4.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/834-Pearl-St-Santa-Monica-CA-90405/2095074075_zpid/
1247 25th St,Santa Monica,CA,90404,2300000,1875.0,3.0,10.0,259,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1247-25th-St-Santa-Monica-CA-90404/20474589_zpid/
1626 Berkeley St,Santa Monica,CA,90404,1399000,730.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1626-Berkeley-St-Santa-Monica-CA-90404/20470978_zpid/
1824 17th St,Santa Monica,CA,90404,2625000,4777.0,11.0,6.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1824-17th-St-Santa-Monica-CA-90404/2103173191_zpid/
1622 Berkeley St,Santa Monica,CA,90404,1399000,1898.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1622-Berkeley-St-Santa-Monica-CA-90404/20470977_zpid/
419 Hill St,Santa Monica,CA,90405,2650000,1920.0,4.0,4.0,46,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/419-Hill-St-Santa-Monica-CA-90405/2096762504_zpid/
201 Ocean Ave UNIT 509B,Santa Monica,CA,90402,2350000,1562.0,3.0,3.0,73,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/201-Ocean-Ave-UNIT-509B-Santa-Monica-CA-90402/20487119_zpid/
1116 24th St,Santa Monica,CA,90403,4695000,7636.0,0,NA,120,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1116-24th-St-Santa-Monica-CA-90403/20474194_zpid/
201 Ocean Ave UNIT 1904P,Santa Monica,CA,90402,2950000,1554.0,3.0,3.0,112,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/201-Ocean-Ave-UNIT-1904P-Santa-Monica-CA-90402/20487087_zpid/
201 Ocean Ave UNIT 1703P,Santa Monica,CA,90402,1895000,906.0,1.0,1.0,111,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/201-Ocean-Ave-UNIT-1703P-Santa-Monica-CA-90402/20487066_zpid/
